sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 80: *(NumConst=69, SV=38, CEps=22.7771, QPEps=8.8662)
Iter 81: *(NumConst=70, SV=39, CEps=23.1377, QPEps=7.0436)
Iter 82: *(NumConst=71, SV=40, CEps=20.1418, QPEps=9.3994)
Iter 83: *(NumConst=72, SV=38, CEps=18.7481, QPEps=8.1288)
Iter 84: *(NumConst=72, SV=39, CEps=19.9554, QPEps=9.2590)
Iter 85: *(NumConst=73, SV=39, CEps=17.7273, QPEps=6.8468)
Iter 86: *(NumConst=74, SV=39, CEps=18.6150, QPEps=7.8340)
Iter 87: *(NumConst=75, SV=40, CEps=14.8397, QPEps=6.0128)
Iter 88: *(NumConst=76, SV=41, CEps=14.7219, QPEps=6.9272)
Iter 89: *(NumConst=76, SV=41, CEps=15.0437, QPEps=7.1484)
Iter 90: *(NumConst=77, SV=40, CEps=12.3187, QPEps=6.1537)
Iter 91: *(NumConst=77, SV=40, CEps=13.5362, QPEps=5.7882)
Iter 92: *(NumConst=78, SV=40, CEps=12.0122, QPEps=5.9609)
Iter 93: *(NumConst=78, SV=40, CEps=12.3030, QPEps=4.9587)
Iter 94: *(NumConst=78, SV=41, CEps=12.2054, QPEps=5.3688)
Iter 95: *(NumConst=77, SV=42, CEps=15.6431, QPEps=5.6222)
Iter 96: *(NumConst=78, SV=43, CEps=12.7959, QPEps=5.7180)
Iter 97: *(NumConst=78, SV=39, CEps=11.4168, QPEps=5.4386)
Iter 98: *(NumConst=78, SV=38, CEps=10.1455, QPEps=4.7138)
Iter 99: *(NumConst=79, SV=39, CEps=13.2551, QPEps=4.4268)
Iter 100: *(NumConst=80, SV=40, CEps=10.4108, QPEps=4.4898)
Iter 101: *(NumConst=80, SV=41, CEps=11.5492, QPEps=4.9921)
Iter 102: *(NumConst=80, SV=41, CEps=10.6801, QPEps=4.9538)
Iter 103: *(NumConst=81, SV=42, CEps=11.1313, QPEps=4.8865)
Iter 104: *(NumConst=82, SV=42, CEps=11.3052, QPEps=4.9371)
Iter 105: *(NumConst=81, SV=42, CEps=12.5839, QPEps=4.6394)
Iter 106: *(NumConst=82, SV=43, CEps=14.6695, QPEps=4.9999)
Iter 107: *(NumConst=81, SV=43, CEps=9.5029, QPEps=4.5793)
Iter 108: *(NumConst=81, SV=43, CEps=11.7976, QPEps=4.2316)
Iter 109: *(NumConst=81, SV=44, CEps=9.1735, QPEps=4.1020)
Iter 110: *(NumConst=82, SV=44, CEps=11.2927, QPEps=4.1505)
Iter 111: *(NumConst=81, SV=44, CEps=8.7135, QPEps=3.4048)
Iter 112: *(NumConst=82, SV=45, CEps=9.9954, QPEps=4.0716)
Iter 113: *(NumConst=83, SV=45, CEps=7.6468, QPEps=3.5820)
Iter 114: *(NumConst=83, SV=45, CEps=10.1060, QPEps=3.7993)
Iter 115: *(NumConst=84, SV=46, CEps=7.7550, QPEps=3.7870)
Iter 116: *(NumConst=83, SV=46, CEps=6.7979, QPEps=2.9069)
Iter 117: *(NumConst=84, SV=46, CEps=8.5933, QPEps=2.9830)
Iter 118: *(NumConst=85, SV=46, CEps=8.5673, QPEps=3.1624)
Iter 119: *(NumConst=83, SV=46, CEps=6.6516, QPEps=2.9678)
Iter 120: *(NumConst=84, SV=45, CEps=8.2622, QPEps=2.7648)
Iter 121: *(NumConst=83, SV=46, CEps=6.1067, QPEps=2.6420)
Iter 122: *(NumConst=84, SV=47, CEps=8.1722, QPEps=3.0065)
Iter 123: *(NumConst=85, SV=47, CEps=8.6929, QPEps=2.8458)
Iter 124: *(NumConst=85, SV=48, CEps=7.5866, QPEps=2.8660)
Iter 125: *(NumConst=85, SV=46, CEps=7.4715, QPEps=2.9103)
Iter 126: *(NumConst=86, SV=47, CEps=6.2195, QPEps=2.9400)
Iter 127: *(NumConst=87, SV=47, CEps=7.5310, QPEps=2.6251)
Iter 128: *(NumConst=87, SV=46, CEps=5.5269, QPEps=2.5398)
Iter 129: *(NumConst=87, SV=46, CEps=5.5477, QPEps=2.7510)
Iter 130: *(NumConst=88, SV=46, CEps=6.7450, QPEps=2.0046)
Iter 131: *(NumConst=89, SV=45, CEps=6.2712, QPEps=2.3987)
Iter 132: *(NumConst=87, SV=45, CEps=6.8284, QPEps=2.5057)
Iter 133: *(NumConst=88, SV=45, CEps=5.1384, QPEps=2.4196)
Iter 134: *(NumConst=88, SV=45, CEps=4.4861, QPEps=2.0549)
Iter 135: *(NumConst=88, SV=45, CEps=5.2290, QPEps=2.1532)
Iter 136: *(NumConst=89, SV=45, CEps=4.8912, QPEps=2.1638)
Iter 137: *(NumConst=90, SV=45, CEps=4.9855, QPEps=2.1060)
Iter 138: *(NumConst=90, SV=46, CEps=4.7856, QPEps=2.0023)
Iter 139: *(NumConst=89, SV=46, CEps=5.6298, QPEps=2.0948)
Iter 140: *(NumConst=89, SV=47, CEps=4.8633, QPEps=2.2295)
Iter 141: *(NumConst=89, SV=48, CEps=5.4472, QPEps=2.0604)
Iter 142: *(NumConst=89, SV=49, CEps=3.8637, QPEps=1.9202)
Iter 143: *(NumConst=90, SV=49, CEps=4.3911, QPEps=1.8996)
Iter 144: *(NumConst=91, SV=49, CEps=5.6747, QPEps=1.4839)
Iter 145: *(NumConst=92, SV=50, CEps=4.6702, QPEps=1.6909)
Iter 146: *(NumConst=88, SV=51, CEps=3.9322, QPEps=1.8025)
Iter 147: *(NumConst=87, SV=51, CEps=4.8890, QPEps=1.8770)
Iter 148: *(NumConst=88, SV=51, CEps=4.2795, QPEps=1.9131)
Iter 149: *(NumConst=89, SV=51, CEps=4.0473, QPEps=1.7843)
Iter 150: *(NumConst=90, SV=52, CEps=4.0302, QPEps=1.7995)
Iter 151: *(NumConst=90, SV=52, CEps=4.0411, QPEps=1.5815)
Iter 152: *(NumConst=91, SV=52, CEps=4.1083, QPEps=1.7121)
Iter 153: *(NumConst=91, SV=51, CEps=3.3558, QPEps=1.3146)
Iter 154: *(NumConst=91, SV=51, CEps=3.9600, QPEps=1.4735)
Iter 155: *(NumConst=92, SV=52, CEps=3.5945, QPEps=1.5987)
Iter 156: *(NumConst=92, SV=50, CEps=3.2750, QPEps=1.6036)
Iter 157: *(NumConst=92, SV=51, CEps=3.4616, QPEps=1.4580)
Iter 158: *(NumConst=93, SV=52, CEps=3.3378, QPEps=1.5511)
Iter 159: *(NumConst=93, SV=52, CEps=3.2176, QPEps=1.3017)
Iter 160: *(NumConst=93, SV=51, CEps=2.7724, QPEps=1.3851)
Iter 161: *(NumConst=94, SV=52, CEps=3.2365, QPEps=1.3271)
Iter 162: *(NumConst=94, SV=51, CEps=3.4544, QPEps=1.3166)
Iter 163: *(NumConst=94, SV=52, CEps=2.7544, QPEps=1.3057)
Iter 164: *(NumConst=95, SV=53, CEps=3.5942, QPEps=1.2719)
Iter 165: *(NumConst=95, SV=53, CEps=3.2261, QPEps=1.3705)
Iter 166: *(NumConst=95, SV=54, CEps=3.0896, QPEps=1.3217)
Iter 167: *(NumConst=95, SV=54, CEps=3.0987, QPEps=1.2155)
Iter 168: *(NumConst=95, SV=55, CEps=3.3289, QPEps=1.3621)
Iter 169: *(NumConst=94, SV=55, CEps=3.2807, QPEps=1.3094)
Iter 170: *(NumConst=95, SV=56, CEps=3.1781, QPEps=1.0967)
Iter 171: *(NumConst=96, SV=56, CEps=2.7812, QPEps=1.3647)
Iter 172: *(NumConst=96, SV=56, CEps=2.3830, QPEps=1.1389)
Iter 173: *(NumConst=97, SV=57, CEps=2.7037, QPEps=1.0168)
Iter 174: *(NumConst=95, SV=58, CEps=3.2208, QPEps=1.1215)
Iter 175: *(NumConst=96, SV=56, CEps=2.4628, QPEps=1.1683)
Iter 176: *(NumConst=96, SV=57, CEps=2.1600, QPEps=0.9865)
Iter 177: *(NumConst=95, SV=58, CEps=2.6952, QPEps=1.0606)
Iter 178: *(NumConst=95, SV=58, CEps=2.5713, QPEps=1.0173)
Iter 179: *(NumConst=95, SV=59, CEps=2.8839, QPEps=1.0357)
Iter 180: *(NumConst=94, SV=59, CEps=2.8851, QPEps=1.0340)
Iter 181: *(NumConst=94, SV=60, CEps=2.6687, QPEps=0.9271)
Iter 182: *(NumConst=94, SV=60, CEps=2.4042, QPEps=1.0635)
Iter 183: *(NumConst=94, SV=58, CEps=2.6629, QPEps=1.0510)
Iter 184: *(NumConst=94, SV=59, CEps=2.1227, QPEps=1.0465)
Iter 185: *(NumConst=94, SV=59, CEps=2.5585, QPEps=0.9511)
Iter 186: *(NumConst=94, SV=60, CEps=2.2293, QPEps=0.9095)
Iter 187: *(NumConst=95, SV=60, CEps=2.3198, QPEps=0.8802)
Iter 188: *(NumConst=95, SV=61, CEps=2.3276, QPEps=1.0404)
Iter 189: *(NumConst=96, SV=61, CEps=2.0393, QPEps=0.9042)
Iter 190: *(NumConst=97, SV=61, CEps=1.9047, QPEps=0.9035)
Iter 191: *(NumConst=98, SV=61, CEps=1.7115, QPEps=0.7463)
Iter 192: *(NumConst=98, SV=62, CEps=1.6413, QPEps=0.7987)
Iter 193: *(NumConst=98, SV=63, CEps=1.7320, QPEps=0.8198)
Iter 194: *(NumConst=99, SV=63, CEps=1.9310, QPEps=0.7043)
Iter 195: *(NumConst=100, SV=64, CEps=2.0389, QPEps=0.8184)
Iter 196: *(NumConst=100, SV=64, CEps=1.7730, QPEps=0.7422)
Iter 197: *(NumConst=100, SV=66, CEps=1.9278, QPEps=0.8153)
Iter 198: *(NumConst=100, SV=67, CEps=1.7417, QPEps=0.7699)
Iter 199: *(NumConst=101, SV=67, CEps=1.3623, QPEps=0.6446)
Iter 200: *(NumConst=101, SV=67, CEps=1.7918, QPEps=0.6147)
Iter 201: *(NumConst=101, SV=66, CEps=1.8748, QPEps=0.6509)
Iter 202: *(NumConst=100, SV=66, CEps=1.6701, QPEps=0.6177)
Iter 203: *(NumConst=100, SV=66, CEps=1.6191, QPEps=0.5438)
Iter 204: *(NumConst=101, SV=66, CEps=1.6286, QPEps=0.4808)
Iter 205: *(NumConst=99, SV=67, CEps=1.4854, QPEps=0.6015)
Iter 206: *(NumConst=100, SV=65, CEps=1.3638, QPEps=0.6209)
Iter 207: *(NumConst=101, SV=65, CEps=1.4640, QPEps=0.6290)
Iter 208: *(NumConst=101, SV=66, CEps=1.4178, QPEps=0.6558)
Iter 209: *(NumConst=100, SV=67, CEps=1.4406, QPEps=0.6566)
Iter 210: *(NumConst=101, SV=66, CEps=1.1625, QPEps=0.5751)
Iter 211: *(NumConst=100, SV=67, CEps=1.3252, QPEps=0.5709)
Iter 212: *(NumConst=101, SV=68, CEps=1.2875, QPEps=0.5231)
Iter 213: *(NumConst=102, SV=67, CEps=1.4484, QPEps=0.5678)
Iter 214: *(NumConst=102, SV=68, CEps=1.1893, QPEps=0.5799)
Iter 215: *(NumConst=103, SV=69, CEps=1.4964, QPEps=0.5803)
Iter 216: *(NumConst=103, SV=70, CEps=1.4260, QPEps=0.5807)
Iter 217: *(NumConst=104, SV=71, CEps=1.3010, QPEps=0.5165)
Iter 218: *(NumConst=104, SV=70, CEps=1.1028, QPEps=0.5251)
Iter 219: *(NumConst=105, SV=71, CEps=1.2960, QPEps=0.5022)
Iter 220: *(NumConst=105, SV=72, CEps=1.1909, QPEps=0.5505)
Iter 221: *(NumConst=105, SV=72, CEps=1.2488, QPEps=0.5448)
Iter 222: *(NumConst=106, SV=72, CEps=1.2323, QPEps=0.4822)
Iter 223: *(NumConst=107, SV=73, CEps=1.2788, QPEps=0.5301)
Iter 224: *(NumConst=105, SV=72, CEps=1.0949, QPEps=0.4361)
Iter 225: *(NumConst=106, SV=73, CEps=1.0780, QPEps=0.5234)
Iter 226: *(NumConst=107, SV=74, CEps=1.1244, QPEps=0.5011)
Iter 227: *(NumConst=107, SV=75, CEps=1.3167, QPEps=0.4684)
Iter 228: *(NumConst=108, SV=74, CEps=0.8886, QPEps=0.4210)
Iter 229: *(NumConst=108, SV=75, CEps=1.0317, QPEps=0.4032)
Iter 230: *(NumConst=109, SV=75, CEps=1.2664, QPEps=0.4202)
Iter 231: *(NumConst=109, SV=76, CEps=0.9973, QPEps=0.4443)
